Id,Rating,Text
1,5,I only spent less than ten on these so they're good for what I paid for
2,5,I'm in love with these glasses.
3,5,Stylish. My kid loved them
4,5,They came in great condition.
5,5,These are really wonderful!
6,5,these are GREAT quality
7,5,She LOVES them!
8,5,Love these.
9,5,The quality is pretty good also.
10,5,EXCELLENT PRODUCT
11,5,I love them. Exactly what i wanted.
12,5,Son love them
13,5,He says they give him that style.
14,5,Great value!!!
15,5,Very complimentary!
16,5,"Cute, great quality, good fit."
17,5,I love these glasses!!
18,5,they fit perfectly.
19,5,They look expensive and the fit is perfect
20,5,Sturdy and good looking for a great price
21,5,Very stylish! Great accessory to compliment an outfit
22,5,Thanks so much my grandson enjoy them.
23,5,Daughter loves them.
24,5,Makes me look smarter in my tinder profile !
25,1,the side arms keep breaking
26,1,just look soooo cheap!
27,1,Not my style.
28,1,Mine arrived broken!! Not worth sending back.
29,1,Dollar store quality.
30,1,Not like picture.
31,1,We're cheap and broke right away. 
32,1,"These are so cheap looking, they are unwearable."
33,1,Very Very VERY Round ! Not at all vintage .
34,1,It's a peace of garbage. Feels so cheap and plastic.
35,1,feel flimsy like it would break i returned it the next day
36,1,lens have too much glare
37,1,they look cheaply made and plastic
38,1,Very cheap looking
39,1,make me headache
40,1,Feel apart after a week of getting them prescribed.
41,1,Really cheap looking.
42,1,Glasses are crooked and not made correctly.
43,1,poorly made... broke after three days
44,1,Sunglasses were very small.
45,1,Look fake and cheap
46,1,lens fell out on first day.
47,1,Not really like it!
48,1,Delivered broken.
49,1,"Overall, trash."
50,1,"Were broken when I opened the box, very disappointed"
51,1,Horrible lens fell out 2nd day!
52,1,I don't like them.
53,1,These hoes broke too I want my money
54,1,Broke within the 3 days
55,1,Little small but still good
56,1,Super small
57,1,Horrible desing
58,1,It's broke
59,1,Crooked and cheaply made.
60,1,Poor quality
