Id,Rating,Text,Verified Purchase,Helpful
1,5,I only spent less than ten on these so they're good for what I paid for,YES,11
2,5,I'm in love with these glasses.,YES,2
3,5,Stylish. My kid loved them,YES,2
4,5,They came in great condition.,NO,0
5,5,These are really wonderful!,YES,0
6,5,these are GREAT quality,YES,0
7,5,She LOVES them!,YES,0
8,5,Love these.,YES,0
9,5,The quality is pretty good also.,YES,3
10,5,EXCELLENT PRODUCT,YES,0
11,5,I love them. Exactly what i wanted.,NO,0
12,5,Son love them,YES,0
13,5,He says they give him that style.,YES,0
14,5,Great value!!!,YES,0
15,5,Very complimentary!,YES,0
16,5,"Cute, great quality, good fit.",YES,1
17,5,I love these glasses!!,YES,0
18,5,they fit perfectly.,YES,0
19,5,They look expensive and the fit is perfect,NO,0
20,5,Sturdy and good looking for a great price,YES,0
21,5,Very stylish! Great accessory to compliment an outfit,YES,0
22,5,Thanks so much my grandson enjoy them.,YES,0
23,5,Daughter loves them.,YES,0
24,5,Makes me look smarter in my tinder profile !,YES,0
25,1,the side arms keep breaking,YES,0
26,1,just look soooo cheap!,NO,0
27,1,Not my style.,NO,0
28,1,Mine arrived broken!! Not worth sending back.,YES,0
29,1,Dollar store quality.,YES,5
30,1,Not like picture.,NO,0
31,1,We're cheap and broke right away.Â ,YES,0
32,1,"These are so cheap looking, they are unwearable.",YES,0
33,1,Very Very VERY Round ! Not at all vintage .,YES,0
34,1,It's a peace of garbage. Feels so cheap and plastic.,YES,0
35,1,feel flimsy like it would break i returned it the next day,NO,0
36,1,lens have too much glare,YES,0
37,1,they look cheaply made and plastic,YES,0
38,1,Very cheap looking,NO,0
39,1,make me headache,YES,0
40,1,Feel apart after a week of getting them prescribed.,NO,0
41,1,Really cheap looking.,YES,0
42,1,Glasses are crooked and not made correctly.,YES,7
43,1,poorly made... broke after three days,YES,2
44,1,Sunglasses were very small.,NO,0
45,1,Look fake and cheap,YES,0
46,1,lens fell out on first day.,NO,0
47,1,Not really like it!,YES,2
48,1,Delivered broken.,YES,0
49,1,"Overall, trash.",YES,0
50,1,"Were broken when I opened the box, very disappointed",NO,0
51,1,Horrible lens fell out 2nd day!,YES,5
52,1,I don't like them.,NO,0
53,1,These hoes broke too I want my money,NO,0
54,1,Broke within the 3 days,NO,0
55,1,Little small but still good,NO,4
56,1,Super small,NO,0
57,1,Horrible desing,NO,0
58,1,It's broke,NO,0
59,1,Crooked and cheaply made.,NO,0
60,1,Poor quality,YES,0
